"aud_rank","pdf_rank","case","author","discipline","product","description"
198,191,"Zoots--Financing Growth (A)","Michael J. Roberts; William A. Sahlman; Todd Krasnow","Finance","807139-PDF-ENG","Traces the genesis and founding of Zoots, the largest chain of dry cleaning establishments in the U.S. Founded by some of the founders of the very successful Staples chain, the company raises a very large amount of capital without fully proving its business model, and by 2006 is in need of yet more funding. Pushes students to dissect the business model and current operations--and their financial performance--and figure out what went wrong initially, if the business model and operations are now on solid footing, and, assuming capital can be raised, whether it is better to take the ""bird in the hand"" of significant capital at an admittedly disappointing valuation, or wait for a strategic investor who would pay a higher price but will need significantly more time to complete due diligence."
199,192,"Higgins vs. Commissioner","Henry B. Reiling","Finance","285008-PDF-ENG","Discusses the issue of whether an activity is a trade or business. The Court held that the taxpayer's very substantial stock and bond portfolio management activities were not a trade or business, whereas the taxpayer's real estate activities did constitute a trade or business. Following the case, an important 1987 U.S. Supreme Court decision reaffirming Higgins is summarized. By Justice Reed."
200,193,"Vanguard Group, Inc.--1998","Andre F. Perold","Finance","299002-PDF-ENG","Since the beginning of 1997, Vanguard's assets under management have increased more than 60% from $240 billion to almost $400 billion, making it second in market share only to Fidelity. Vanguard views this success as another vindication of its low-cost strategy of no-load funds, small expense ratios, candid client communication, high-quality service, and predictable performance. But the organization also is mindful of the unprecedented changes occurring in the financial services industry. Financial institutions have been rapidly consolidating, with firms such as Citigroup, UBS, and Merrill Lynch each now holding customer and other assets in excess of a trillion dollars. And technology-especially the Internet-is dramatically altering the creation, pricing, and delivery of financial services. Vanguard has to carefully consider its future, and faces key decisions such as expanding its range of products and offering asset management services in other countries."
202,194,"Sunbeam Oster Co., Inc.","Steven R. Fenster; Paul J. Reiferson","Finance","291052-PDF-ENG","Japonica Partners, an investment firm, is trying to determine whether there is any unseen value in Sunbeam Oster Co., Inc., a Chapter 11 debtor. If there is, Japonica must consider the means by which they can acquire control of a company in Chapter 11."
203,195,"Legacy Fund, Inc.","Jeffry A. Timmons; James Weber","Finance","291010-PDF-ENG","Two young HBS graduates propose to create a new venture capital fund in 1989. The case focuses on: 1) evaluation of the venture capital industry; 2) whether there is an opportunity for a new specialized fund; 3) the structuring of risks and rewards in the fund; 4) analysis of the required experience, know-how and networks needed to launch such a fund; and 5) the critical decisions facing the founders."
204,196,"Real Property Negotiation Game: Buyer Case, Celia Hernandez (A)","Arthur I Segel; John H. Vogel Jr.","Finance","209034-PDF-ENG","The Real Property Negotiation Game simulates the experience negotiating the sale, purchase, or financing of a property. The class competes as either a lender, buyer, or one of two groups of sellers, Raleigh, North Carolina and Las Vegas, Nevada. The buyer case for the Real Property Negotiation Game. Celia Hernandez must decide which of two properties to purchase."
205,197,"Toy World, Inc.","W. Carl Kester","Finance","295073-PDF-ENG","A shift from seasonal to level production of toys will change the seasonal cycle of Toy World's working capital needs and necessitate new bank credit arrangements. A rewritten version of an earlier case."
206,198,"Investment Policy at the Hewlett Foundation (2005)","Luis M. Viceira","Finance","205126-PDF-ENG","In early January 2005, Laurance Hoagland Jr., VP and CIO of the William and Flora Hewlett Foundation (HF), and his investment team met to finish their recommendations to the HF Investment Committee for a new asset allocation policy for the foundation's investment portfolio. If the proposal was approved, HF would adopt a new asset allocation policy that included a substantial reduction in the overall exposure of the investment portfolio to domestic public equities and a significant increase in the allocation to absolute return strategies and TIPS. Hoagland and this team also needed to decide on a complementary recommendation to the HF Investment Committee to pledge approximately 5% of the total value of the portfolio to Sirius V, the latest fund at Sirius Investments, which specialized in global distressed real estate investments."
207,199,"Whirlpool Corp.: Structuring the Deal to Acquire Hefei Rongshida Sanyo Electric Company","Benjamin C. Esty; Nancy Hua Dai","Finance","216019-PDF-ENG","Ian Lee, Whirlpool's VP for North Asia, had been negotiating a possible acquisition with Jackie Jin, the chairman of a leading Chinese appliance manufacturer named Hefei Rongshida Sanyo Electric Company (Hefei Sanyo), for almost six months when suddenly Hefei Sanyo's stock price jumped 25% in the first two weeks of May 2013. The sudden price increase not only increased the likely acquisition price for an ownership stake in Hefei Sanyo, but also meant that Whirlpool had lost the luxury of both time and secrecy. Lee had to quickly decide how to structure a deal that enabled Whirlpool to acquire controlling ownership position (>50%) in the state-owned enterprise (SOE)- something that had not been done before; how much to pay for the stake; and how to ensure commercial, regulatory, and political approval for the deal."
208,200,"Universal Circuits, Inc.","Thomas R. Piper","Finance","286006-PDF-ENG","The manager of international finance of a major U.S. electronics company is concerned about the exposure of the firm to changes in exchange rates. Of particular concern is the exposure of operations to changes in real exchange rates. The teaching objectives include: 1) understanding operating exposure and contractual exposure; 2) understanding the issues in estimating operating exposure; 3) understanding possible actions to neutralize operating exposure; and 4) assigning responsibility for the management of operating exposure."
209,201,"Microfinance in Bolivia: A Meeting with the President of the Republic","Michael Chu","Finance","307107-PDF-ENG","Herbert Muller, chair of leading microfinance bank BancoSol, has met with Evo Morales one year after the populist leader's inauguration as president of Bolivia and proceeds to write an email to his fellow board directors. The bank is world famous for pioneering microfinance while delivering superior financial performance. Evo Morales is an Amerindian who supporters see as a response to the white oligarchy that has long dominated Bolivia and as a champion of the downtrodden, in the poorest country in South America. In the first year of his administration, he has nationalized the oil and gas industry, created a constituent assembly to rewrite the constitution, and launched agrarian reform. The meeting between Muller and Morales takes place at the Bolivian banking association where the government officials, while committing not to mandate the reduction of interest rates in microcredit, express their expectation that rates will drop as quickly as possible. A week earlier, senior cabinet officials had met with the president of the banking association and expressed their wish that interest rates for loans in the banking system would decline to single digits."
210,202,"Yale University Investments Office: July 2000","Josh Lerner","Finance","201048-PDF-ENG","David Swensen, chief investment officer at Yale University, reviews the $10 billion endowment strategy, that places an unusually heavy emphasis on private equity and other illiquid securities. Changing market conditions in July 2000 cause him to rethink historically successful approaches."
211,203,"Whole Foods Acquires Wild Oats (A)","Michael D. Kimbrough; Sudhakar Balachandran; Madhav Srinivasan; Rachel Gordon","Finance","109029-PDF-ENG","Examines the implications of Whole Foods' CEO's anonymous message board postings including its potential impact on the company's proposed merger with Wild Oats."
212,204,"Deutsche Bank: Finding Relative Value Trades","George Chacko; Vincent Dessain; Anders Sjoman; Peter Hecht","Finance","205059-PDF-ENG","Deutsche Bank's Fixed Income Research Group is looking for yield curve trades to pitch to clients as well as for their proprietary trading desk. The group has data on recent bond trades and a proprietary term structure model, which they can use to develop trading ideas."
213,205,"First National Bank's Golden Opportunity","Shawn Cole; Peter Tufano; Daniel Schneider; Daryl Collins","Finance","208072-PDF-ENG","Executives at First National Bank in South Africa are considering whether to launch a potentially exciting, but rather unorthodox, new savings product. Instead of paying interest, this product gives depositors the chance to win large cash prizes each month. Michael Jordan, CEO of the bank's Consumer Solutions Division, must decide whether to approve the product, weighing the potential benefits against large upfront investment, uncertain market demand, and the complication that the product might face legal challenges."
215,206,"Mondavi Winery","Gregory S. Miller; Thomas Doyle","Finance","104056-PDF-ENG","Examines Mondavi Winery's struggle to communicate its value proposition to the market following an apparently successful IPO. The Mondavi Winery had a strong reputation for innovation in the wine industry and had undertaken an IPO to secure the funding needed to continue to build on this tradition. Although the IPO was an initial success, the stock price soon began to fall. Places students in the role of the company founder, Robert Mondavi, as he considers how to communicate the vision of his family's company to investors. Beyond the primary issue of developing a communication strategy, this case allows students to consider the demands for communication created by an IPO and the impact on the management of the company."
216,207,"Jaguar plc--1984","Timothy A. Luehrman; William T. Schiano","Finance","290005-PDF-ENG","A vehicle for analyzing the exposure of operating cash flows to exchange rate changes. Considers the value of Jaguar plc at the time of its privatization and share offering in 1984. Jaguar is a major exporter from the United Kingdom and the United States is therefore exposed to changes in the dollar/sterling exchange rate. Students are asked to estimate the value of the company as a function of expected future exchange rates. Students may also be asked whether and how Jaguar's exposure should be hedged."
217,208,"Kumbh Mela: India's Pop-up Mega-City","Tarun Khanna; John D. Macomber; Saloni Chaturvedi","Finance","214023-PDF-ENG",""
218,209,"Searching for a Retirement Plan","Robert C. Pozen; Lucas W. Goodman","Finance","314022-PDF-ENG",""
219,210,"Aspen Technology, Inc.: Currency Hedging Review","Peter Tufano; Cameron Poetzscher","Finance","296027-PDF-ENG","The chief financial officer of a rapidly growing U.S.-based software firm that sells its process-control software to industrial users around the globe must review the goals, strategies, and policies of the firm's currency hedging program. This review is prompted by changes in the firm's business, notably its acquisition of a United Kingdom subsidiary, other growing overseas expenses, and its recent initial public offering."
220,211,"Mellon Financial and The Bank of New York","Carliss Y. Baldwin; Ryan D. Taliaferro","Finance","208129-PDF-ENG","Bob Kelly, the new CEO of Mellon Financial, is considering the terms of a proposed ""merger of equals"" with The Bank of New York, just before the final Board meeting to approve the deal. The combination offers a great strategic fit, and the expected synergies are large. However, the proposed exchange ration values Mellon at a discount to its last closing price, even though it is the smaller and non-surviving bank. Kelly must consider the various dimensions of the deal--specifically the value of synergies, the form of consideration, and the deal's impact on the eps of both sides--and determine whether it is in the best interests of Mellon, the city of Pittsburgh, and Mellon's shareholders."
221,212,"Mortgage-Backs at Ticonderoga","George Chacko; Peter Hecht; Vincent Dessain; Anders Sjoman","Finance","205122-PDF-ENG","Ticonderoga is a small hedge fund that trades in mortgage-backed securities--securities created from pooled mortgage loans. They often appear as straightforward so-called ""pass-throughs,"" but can also be pooled again to create collateral for a mortgage security known as a collateralized mortgage obligation (CMO). CMOs allow cash flows from the underlying pass-throughs to be directed, allowing the creation of different classes of securities-- tranches--with different maturities, coupons, and risk profiles. In April 2005, the general managers of Ticonderoga are looking at the market data, trying to construct a trade given their view on the prepayment speed of mortgages vs. the implied prepayment speed they derive from CMOs in the market."
222,213,"Hudson Yards - The Other Side of the Tracks?","Christopher M Gordon; A. Eugene Kohn; John D. Macomber; Lisa Strope","Finance","213040-PDF-ENG","Stephan Ross, CEO or Related Companies, is considering an opportunity to invest $1 billion for the air rights over the Hudson Rail Yards in New York City. The investment would allow Related to build a platform over the operating rail tracks and develop this blighted edge of New York City into one of the top tier places to live, work and shop in the world."
223,214,"Dynatronics, Inc. (Abridged)","Thomas R. Piper","Finance","290064-PDF-ENG","Provides an opportunity to evaluate an investment in a new product line in strategic, competitive, organizational, and economic terms. The economic analysis involves an estimation of the relevant cash flows and discounting them at an appropriate hurdle rate."
224,215,"Chrysler's Sale to Fiat","C. Fritz Foley; Lena G. Goldberg; Linnea Meyer","Finance","210022-PDF-ENG","This case provides students with an opportunity to analyze the restructuring of Chrysler in the midst of the financial crisis of 2008-2009. It describes how debtors can use section 363 of the U.S. Bankruptcy Code to sell assets quickly. It allows for discussion of who benefits and who loses in such restructurings, and it also raises a variety of policy issues concerning 363 sales and the appropriate role of government entities in restructurings."
225,216,"ABN-AMRO Holding N.V. and Smit Transformatoren N.V. (A)","Peter Tufano; Cameron Poetzscher","Finance","296030-PDF-ENG","ABN-AMRO, the largest bank in the Netherlands, must decide whether to take any action in regard to the poor performance of Smit Transformatoren, a Dutch transformer manufacturer. ABN-AMRO acted as lead underwriter for the IPO of Smit, and also released a favorable equity research report around the time of the IPO. Smit's stock price initially performed favorably, but then fell significantly in conjunction with poor earnings announcements and other bad news."
226,217,"Venture Capital Fund Restructuring Vignettes (Abridged)","Paul A. Gompers","Finance","202126-PDF-ENG","This case examines the changes in fund structures proposed by four venture capital firms in 2002: Accel Partners, Battery Ventures, Charles River Ventures, and Kleiner Perkins Caufield & Byers. The venture capital market has experienced a major downturn, and these funds are trying to address investor concerns."
227,218,"Waltz on the Danube","Arthur I Segel; Vincent Dessain; Anais Loizillon","Finance","804021-PDF-ENG","Describes the intricate parts of an early real estate deal from the standpoint of the developer including feasibility analysis, market choice, acquisition of land, project development, design and construction issues, investment returns, and equity financing issues. Thirty-two-year-old Dr. Philipp von Wilmowsky is director of Hungarian operations for ECE Projektmanagement, a German real estate development conglomerate. He has been working for two years on the development of a 30,300 square-meter (m2), 75 million Eurodollar shopping project located in the city of Gyor, Hungary. Allows students to analyze the viability and attractiveness of the project and perform calculations on project returns (including co-investor returns), cost analysis, sensitivity analysis, composition of leasing revenues, and loan structuring."
228,219,"Groupe Eurotunnel S.A. (A)","Stuart C. Gilson; Vincent Dessain; Sarah L. Abbott","Finance","209062-PDF-ENG","In the summer of 2006 the chairman and CEO of Eurotunnel Group is faced with the decision whether to file for bankruptcy protection, after having failed to gain creditor approval of an ambitious out-of-court restructuring plan. The company, which has been attempting to restructure its debt and operations for the last ten years, faces a number of daunting challenges. Eurotunnel is jointly listed in the U.K. and France, and its shareholders, who are largely based in France, face the prospect of significant dilution under any restructuring plan. The current chairman and CEO has been with the company for only a year-and-a half, following a decade of senior management turbulence in which the company has seen nine different CEOs and chairmen. Eurotunnel's capital structure is staggeringly complex, and a large fraction of its debt has come to be held by U.S.-based hedge funds that specialize in investing in distressed companies. Finally, Eurotunnel's business is extremely challenging to value, and is faced with significant competition. If the current chairman/CEO decides to file for bankruptcy, he faces the additional choice whether to file for bankruptcy in the U.K. or in France, which take quite different approaches to restructuring troubled companies."
229,220,"HgCapital and the Visma Transaction (A)","Paul A. Gompers; Karol Misztal; Joris Van Gool","Finance","214018-PDF-ENG","This case concerns the negotiations of a deal by HgCapital, a UK-based private equity firm, to buy Visma, ASA, a Norwegian software company. Visma has received an offer from Sage Group, a strategic acquirer. HgCapital must determine if it wants to bid and how to outbid a potential strategic acquirer. The case concerns bidding and negotiations strategies as well as deal structuring issues. In particular, the cross border nature of the investment, a UK firm investing in Norway, leads to a number of financing issues related to raising the debt for the LBO. The case provides an opportunity to role play both the PE fund perspective and the potential target."
230,221,"Flagstar Cos., Inc.","Stuart C. Gilson; Jeremy Cott","Finance","299038-PDF-ENG","A large restaurant chain undergoes a leveraged buyout and subsequent recapitalization. Financial and operating problems at the company force it to consider various restructuring options, including a ""prepackaged"" Chapter 11 exchange offer to its public bondholders. A rewritten version of two earlier cases."
231,222,"Intercontinental Breweries (Abridged)","Thomas R. Piper","Finance","298090-PDF-ENG","A senior executive of a U.S. multinational is attempting to develop a set of financial, operating, and ownership arrangements that will be acceptable to the management and employees of a major Polish company and to the Ministry of Privatization. The arrangements must also be consistent with the financial and strategic objectives of the U.S. multinational. A rewritten version of two earlier cases."
232,223,"Jeepers! Inc. in 2000","Nabil N. El-Hage","Finance","204111-PDF-ENG","After the company's IPO is withdrawn, the company enters a period of severe financial distress. The consultants recommend that the company be liquidated. The CEO must convince the board, the lenders, and the landlords that the company can and should be saved."
233,224,"AQR's Momentum Funds (A)","Daniel B. Bergstresser; Lauren H. Cohen; Randolph B. Cohen; Christopher Malloy","Finance","211025-PDF-ENG","AQR is a hedge fund based in Greenwich, Connecticut, that is considering offering a wholly new line of product to retail investors, namely the ability to invest in the price phenomenon known as momentum. There is a large body of empirical evidence supporting momentum across many different asset classes and countries. However, up until this point, momentum was a strategy employed nearly exclusively by hedge funds, and thus not an available investment strategy to most individual investors. This case highlights the difficulties in implementing this ""mutual fund-itizing"" of a hedge fund product, along with the challenges that the open-end and regulatory features that a mutual fund poses to many successful strategies implemented in other contexts. In addition, it gives students the ability to calculate and interpret various horizons of correlations between many popular investment strategies using long time-series data and then thinking about the potential complementarities of strategies from a portfolio construction context."
234,225,"Sky Air, Inc.","Paul A. Gompers","Finance","297110-PDF-ENG","Concerns a fictitious airline company and examines the moral hazard situation that results within a firm. Provides an opportunity to discuss corporate governance and contracting under uncertainty."
235,226,"Sunshine Villas","William J. Poorvu; John H. Vogel Jr.","Finance","396329-PDF-ENG","Ms. Courtney Lowe is president and sole owner of CL Development. She is looking to sell Sunshine Villas to pay off her bank and make a profit. This case is part of a negotiation game simulation that includes Jason Bosworth, Silver Lane Apartments, and Major Insurance Co."
236,227,"Sino-Ocean Land: Responding to Change","Nicolas P. Retsinas; Jeffrey Hu; Runjiao Xu","Finance","211107-PDF-ENG","In 2010, Sino-Ocean Land Holdings Limited was a highly successful, large real estate developer based in Beijing, China. Sino-Ocean Land had three main business segments-property development, property investment/management, and other real estate related businesses. From 2005-2009, the company focused on becoming a leading regional developer with a multiproduct offering. That strategy was successful, riding the wave of spectacular growth in the Chinese real estate sector from 1998-2008, following a loosening of Chinese state real estate regulations. Although Sino-Ocean Land had gone public in 2007, its key shareholders were still state owned enterprises. The state maintained significant influence on the company and the real estate market, in general. The case explores the interactions between the company and the state, examining land acquisition, financing, and corporate governance. Following the global financial crisis of 2008, Sino-Ocean Land must devise a new five year strategic plan. CEO Li Ming must grapple with the changing market dynamics and regulatory environment, to decide the best course for the company. Key issues that he must determine are: whether the focus should be local or national; whether to continue with multiproduct offerings, or specialize in one product type; and whether to continue to pursue primarily development, or to shift to property investment and holding."
237,228,"Bank Leu's Prima Cat Bond Fund","George Chacko; Vincent Dessain; Anders Sjoman; Adam Plotkin; Peter Hecht","Finance","205005-PDF-ENG","In 2001, Bank Leu, a Swiss private bank, is considering creating the world's first public fund for catastrophe bonds. Cat bonds are securities whose payments depend on the probability of a catastrophe occurring, such as an earthquake or hurricane. Cat bonds are traditionally issued by large insurance or reinsurance companies. This case outlines the traditional reinsurance market and securitization efforts that have taken place in the past and focuses on Bank Leu's decision as a buy-side participant in the cat bond market."
238,229,"Crown Cork & Seal/CarnaudMetalbox","William E. Fruhan; William Dewitt","Finance","296019-PDF-ENG","A U.S. packaging firm acquires a French packaging firm with the objective of creating the largest global packaging firm in the world."
239,230,"The Case of the Unidentified Healthcare Companies -- 2010","Richard Bohmer; Ethan S. Bernstein; Margarita Krivitski; Srinidhi Reddy","Finance","611043-PDF-ENG","This case presents financial statements and selected ratios for 14 unidentified healthcare organizations and asks that each set of financial information be matched with one of the following healthcare companies: a biotechnology firm, a community nursing company, a distributor (medical), a DME licensee and seller, a DME developer and seller, a home care provider, a hospital (diversified), an insurer, a lab/diagnostic firm, a medical device manufacturer, a nursing home operator, a pharmaceuticals company (branded), a pharmaceuticals company (generics), and a private practice."
240,231,"Nephila: Innovation in Catastrophe Risk Insurance","Kenneth A. Froot; Michael Heinrich","Finance","206130-PDF-ENG","At the cross-section of capital markets and the catastrophe insurance space stands the hedge fund Nephila. Nephila must decide how best to take advantage of the newly presented market opportunities post hurricanes Katrina, Wilma, and Rita. Nephila has a plethora of options as it brings capital markets understanding to the insurance space. Nephila can easily trade in and out of insurance products and is not subject to regulatory restrictions. Yet, Nephila only capitalizes 1% of the entire catastrophe reinsurance market. What is the best way to grow?"
241,232,"Savannah West","William J. Poorvu; John H. Vogel Jr.","Finance","381081-PDF-ENG","Allison Porter, a loan officer for Chemical Bank, must decide whether to make a construction loan on a 216-unit apartment building to be built in Savannah, Georgia. In teaching this case, one begins by looking at the economics, marketing data, etc., of the proposed apartment building and then one discusses the kinds of terms and conditions the bank should impose."
242,233,"Simmons Japan Ltd.","W. Carl Kester; Richard P. Melnick","Finance","289001-PDF-ENG","Concerns the first leveraged buyout to occur in Japan. Analytic tasks include a valuation of the company and an assessment of its debt capacity. Also provides opportunities to discuss agency costs associated with alternative capital and equity ownership structures, differences between U.S. and Japanese corporate finance practices, and the potential role of leveraged buyouts in the restructuring of Japanese manufacturing."
243,234,"Federated Department Stores, Inc.: Managing in a Hurricane","Steven R. Fenster; Paul J. Reiferson","Finance","292079-PDF-ENG","Describes Federated Department Stores following an important infusion of capital and before its subsequent Chapter 11 filing. The questions include how the company can be managed in a period of financial distress, whether it is possible or desirable to avoid Chapter 11, and if Chapter 11 is inevitable how to best prepare for it so that the ultimate restructuring following Chapter 11 is successful."
873,235,"Scott Paper Co.","Stuart C. Gilson; Jeremy Cott","Finance","296048-PDF-ENG","A professional turnaround manager attempts to implement a massive global downsizing program at the world's largest producer of consumer tissue products. The plan involves laying off almost one third of the company's 34,000 hourly and salaried employees and dramatically changing the company's business focus through massive asset sales-all in less than a year."
245,236,"Sally Jameson--1999","Peter Tufano; George Chacko; Henry B. Reiling; Matthew Bailey","Finance","200006-PDF-ENG","Sally Jameson has a large block of appreciated stock, which she is contemplating selling to purchase a home. She is comparing an outright sale, borrowing against the stock, shorting against the box, and a stock loan proposed by a small financial services firm."
246,237,"Arundel Partners: The Sequel Project","Timothy A. Luehrman; William A. Teichner","Finance","292140-PDF-ENG","A group of investors is considering buying the sequel rights for a portfolio of feature films. They need to determine how much to offer to pay and how to structure a contract with one or more major U.S. film studios. The case contains cash flow estimates for all major films released in the United States during 1989. These data are used to generate estimates of the value of sequel rights prior to the first film's release. Designed to introduce students to real options and techniques for valuing them. It clearly illustrates the power of option pricing techniques for certain types of capital budgeting problems. Also illustrates the practical limitations of such techniques."
247,238,"Bankruptcy and Restructuring at Marvel Entertainment Group","Benjamin C. Esty; Jason S. Auerbach","Finance","298059-PDF-ENG","Marvel Entertainment Group is the leading comic book publisher in the United States, with superheros like Spider-Man, the Incredible Hulk, the X-Men, and Captain America. It is also one of the leading manufacturers of sports and entertainment trading cards under the Fleer and Sky Box brand names. In the mid-1990s, it experienced sharp declines in both businesses, causing it to file for bankruptcy in December 1996. This case is set in late January 1997, shortly after Marvel filed its reorganization plan with the bankruptcy court and approximately one month before creditors will have to vote on the plan at the confirmation hearing. Two of the most prominent corporate raiders of the 1980s are pitted against each other for control of the company. On one side is Ronald Perelman, who controls Marvel through his MacAndrews & Forbes holding company. On the other side is Carl Icahn, who controls 25% of Marvel's public debt. Icahn and the other bondholders must decide whether to accept Perelman's plan, to reject it in favor of their own plan, or to sell their bonds before the confirmation hearing. Perelman must decide whether to change the plan in response to the debtholders' threats or to wait and see what happens at the hearing. A rewritten version of another case."
248,239,"Lehman Brothers and the Securitization of American Express Charge-Card Receivables","Andre F. Perold; Kuljot Singh","Finance","293121-PDF-ENG","In early 1992, Lehman Brothers had received a mandate from its affiliate, American Express Travel Related Services (TRS) Co., to securitize a portion of its consumer charge-card receivables portfolio. It is now July 22, and Lehman and TRS have just returned from a ""road show"" that was undertaken to convince prospective investors of the merits of these new securities. Lehman must now price the securities. Because this is the first-ever securitization of charge-card receivables, there are no directly comparable benchmarks that can help in pricing. However, the securities share common features with credit-card receivables backed securities, which by now are well accepted. Another comparable is non-callable finance company debt. This deal is being watched closely by competing underwriters, investors, and senior management at TRS and Lehman. ""Success"" could catapult Lehman into becoming a major player in the asset-backed market whereas ""failure"" would be a major setback."
249,240,"Fischer Francis Trees & Watts","Erik Sirri","Finance","293056-PDF-ENG","Fisher Francis Trees & Watts is a New York fixed-income investment management firm. A portfolio manager needs to purchase $375 million of 5-year notes at the Treasury auction. Unlike previous auctions, however, this is the first time the Treasury will auction the notes in a single-price ""Dutch"" auction. Provides the opportunity for students to study the primary and secondary market for government securities, auction theory, and financial market structure."
250,241,"Underwater Engineer at Intel Corporation","E. Scott Mayfield","Finance","212047-PDF-ENG","Molly Miller, an Intel employee and shareholder, must decide whether to vote FOR or AGAINST Intel's proposed 2009 option exchange program. Given recent declines in Intel's stock price, more than 99% of Intel's outstanding employee stock options are ""underwater,"" and employee motivation and retention are serious concerns. If the program is approved by shareholders, Molly must decide whether to participate in the program and tender her underwater employee stock options. As a shareholder and an employee, Molly must assess the pros and cons of Intel's proposed exchange program from both perspectives. In addition, she must consider Intel's proposal in light of the alternative approaches pursued by other corporations that have recently confronted the problem of underwater employee stock options."
251,242,"Chrysler Takeover Attempt","Richard S. Ruback; William Dewitt","Finance","296078-PDF-ENG","On April 12, 1995, Kirk Kerkorian made an unsolicited offer to buy the outstanding shares of Chrysler Corp. This case analyzes the proposed deal and addresses the key contextual elements contributing to the takeover attempt."
252,243,"Tiffany & Co.--1993","W. Carl Kester; Kendall Backstrand","Finance","295047-PDF-ENG","The restructuring of Tiffany's retailing agreement with Mitsukoshi Ltd. in 1993 exposed Tiffany to substantial yen/dollar exchange rate volatility that it had not previously faced. This new exposure requires Tiffany to establish risk management policies and practices. Management must determine whether to hedge, what the objective of hedging ought to be, how much exposure to cover, and what instruments to use. Teaching Objective: To introduce students to the problems of risk management in a relatively uncomplicated administrative situation."
253,244,"Japanese Financial Crisis and the Long-Term Credit Bank of Japan","Malcolm S. Salter; Andrew Eggers","Finance","801039-PDF-ENG","Illustrates the failure of Japan's banking elite to adjust to new economic conditions."
254,245,"Arcapita - 2002","Nabil N. El-Hage; Leslie S. Pierson","Finance","209023-PDF-ENG","In 2002, Arcapita Bank, B.S.C., then known as First Islamic Investment Bank, or FIIB, faced a liquidity crunch. Aracapita offered Islamic-compliant private equity, real estate, and venture capital products. In the wake of the 9/11 terrorist attack, however, Islamic banking was an endangered species in the U.S. Should Arcapita change its business model, and how should it finance its growing capital needs?"
255,246,"Financing Higher Education in Australia","David A. Moss; Stephanie Lo","Finance","711047-PDF-ENG","Even before Australian lawmakers abolished university tuition in 1973, students in Australia had long benefited from low tuition and large government subsidies. By the early 1980s, however, the nation's universities faced growing budget challenges and an apparent shortage of capacity as demand for higher education surged. Policymakers, cognizant of a growing budget deficit as well as a hard-hitting recession, hesitated to provide increased funding to higher education. The debate over how best to finance Australian higher education finally came to a head in the late 1980s, following publication of the Report of the Committee on Higher Education Funding (commonly known as the Wran Report). Although the Wran Committee had considered several potential funding schemes, it ultimately proposed a radical system in which students would pay tuition financed through income-contingent loans provided by the government. The Wran Report proved to be of particular interest to the Australian Prime Minister, Robert Hawke. The government's fiscal position seemed to demand that educational financing be overhauled, but there was no consensus on how best to do this. Could the Prime Minister convince his Australian Labor Party to abandon the free-education plank in its platform? And even if he could, how could he be sure that the Wran Committee's strategy was the right one and that its recommendations were workable? Would following an American model of full tuition for higher education and government-guaranteed student loans make more sense? These were just a few of the questions that the Prime Minister confronted as he contemplated new approaches for financing higher education in Australia."
256,247,"Richardson-Vicks--1985 (A)","Kevin F. Rock","Finance","288048-PDF-ENG","Considers the predicament of Richardson-Vicks in 1985. After 80 years of growth and independence, the company is the object of takeover rumors. The objective is to determine why these difficulties have arisen and what, if anything, Richardson-Vicks can do about them."
257,248,"NASDAQ Stock Market, Inc.","Andre F. Perold; Austin Scee","Finance","202008-PDF-ENG","NASDAQ's mission ""to facilitate capital formation"" is threatened by the emergence of Electronic Communication Networks, which are not as heavily regulated by the SEC. This case reviews the development of NASDAQ and its evolution from a loose network of broker-dealers through to its proposed SuperMontage. SuperMontage is a centralized order book, where multiple parties can place orders (both buy and sell) for the stocks they wish to trade and where entire supply and demand curves can be displayed. To understand the context, students will learn about the structure of the capital markets and why it concerns regulators and investors."
258,249,"Behavioral Finance at JP Morgan","Malcolm P. Baker; Aldo Sesia","Finance","207084-PDF-ENG","Following a successful model in Europe, JP Morgan has introduced a set of five U.S. retail mutual funds with an investment philosophy and marketing strategy grounded in behavioral finance. The asset management group believes that understanding investor biases like overconfidence, anchoring, and loss aversion is key to generating returns on the investment side and educating clients on the advisory side."
259,250,"Royal Bank of Scotland: Masters of Integration","Nitin Nohria; James Weber","Finance","404026-PDF-ENG","Describes the acquisition of Nat West by Royal Bank of Scotland. Describes the strategic rationale for the acquisition and the process by which the integration of the two banks was accomplished. The acquisition is remarkable for how successful it was, given the typical high rate of failure of similar acquisitions. Teaching Purpose: To teach about the general lessons of successfully implementing mergers and acquisitions."
260,251,"Hospital Corp. of America (B)","W. Carl Kester","Finance","283054-PDF-ENG","Focuses on HCAs financing options for reaching its target capital structure. The options include new equity conversion of convertible debentures, a debt-for-equity swap, the sale of assets, and fixed-rate debt. Students must address the problem of market timing and signaling in their choice of financing vehicles."
261,252,"California PERS (A)","Jay O. Light; Jay W. Lorsch; James E. Sailer","Finance","291045-PDF-ENG","Examines California Public Employees Retirement System (CalPERS), the world's fourth largest pension fund. Dale Hanson, CEO of CalPERS, has a problem; how does he use CalPERS' influence as the holder of a small percentage of 1,300 American companies to put pressure on corporate America to achieve better returns for shareholders? The case discusses the constraints which confront CalPERS as a quasi-state agency and describes their efforts to improve corporate governance to date."
